"videoId","commentId","parentId","author","text","likeCount","publishedAt","updatedAt","viewerRating","canRate","reply"
"tAE83zZEcOY","UgxMkMAxxGSm4wqNH014AaABAg",NA,"@99988Q","貪圖有這樣的女朋友 為自己的幻想付出代價",1,"2024-05-06T07:03:53Z","2024-05-06T07:03:53Z","none",TRUE,FALSE
"tAE83zZEcOY","Ugy41urll-eDpM7t-m14AaABAg",NA,"@葬愛心止","現在講這個夠假",7,"2024-05-06T07:09:41Z","2024-05-06T07:09:41Z","none",TRUE,FALSE
"tAE83zZEcOY","UgyctZUs_OWXO-zprkJ4AaABAg",NA,"@wenyi0416","想趁人家自殺再賺最後一筆吧？無恥",59,"2024-05-06T07:12:15Z","2024-05-06T07:12:15Z","none",TRUE,FALSE
"tAE83zZEcOY","UgzAROIM-PY4Wyvng4R4AaABAg",NA,"@鄉蹟徘","能怪誰？怪自己蠢",3,"2024-05-06T07:12:25Z","2024-05-06T07:12:25Z","none",TRUE,FALSE
"tAE83zZEcOY","Ugx7jE_a_FKQj5mAvxp4AaABAg",NA,"@u50904vic","為什麼有這麼無聊的新聞",4,"2024-05-06T07:16:01Z","2024-05-06T07:16:01Z","none",TRUE,FALSE
"tAE83zZEcOY","Ugy5ButD9--PRmyfl094AaABAg",NA,"@bestrelaxbusic3786","跟有人被詐騙一樣，有些人就是只會笑被害者",40,"2024-05-06T07:16:52Z","2024-05-06T07:16:52Z","none",TRUE,FALSE
"tAE83zZEcOY","Ugx2aOucbpjCi5yMRe94AaABAg",NA,"@jyh1230","太傻了",1,"2024-05-06T07:19:14Z","2024-05-06T07:19:14Z","none",TRUE,FALSE
"tAE83zZEcOY","UgxSS8qYjRf8oeBXQI94AaABAg",NA,"@peterchen4954","剛剛看到標題「遭女友榨乾」才點進來看的，沒想到此「榨乾」非彼「榨乾」⋯⋯⋯⋯",33,"2024-05-06T07:20:15Z","2024-05-06T07:20:15Z","none",TRUE,FALSE
"tAE83zZEcOY","Ugyl6UrMOmOz5qnsLJx4AaABAg",NA,"@不是雲","很苦…雖然忽略了沿路風景，以後不痛了…慢走…😢😢",1,"2024-05-06T07:22:10Z","2024-05-06T07:22:10Z","none",TRUE,FALSE
"tAE83zZEcOY","UgzBeWmzpMfXLjG18ox4AaABAg",NA,"@Duasilipaxiao","人患不自知, 以為錢能買到人家愛你! 要怪誰",1,"2024-05-06T07:22:35Z","2024-05-06T07:22:35Z","none",TRUE,FALSE
"tAE83zZEcOY","UgyfFGlDRr1Nn5IrMbl4AaABAg",NA,"@li-chinchen6320","應該<一命賠一命>....",1,"2024-05-06T07:25:03Z","2024-05-06T07:25:03Z","none",TRUE,FALSE
"tAE83zZEcOY","UgzPJJddMNL8RkUs5dt4AaABAg",NA,"@小藍天-m1c","金錢買不到愛情 買不到友情",6,"2024-05-06T07:25:09Z","2024-05-06T07:25:09Z","none",TRUE,FALSE
"tAE83zZEcOY","UgyUacEBcyBm4Ri8CwZ4AaABAg",NA,"@啊咘-j1h","有照片嗎？ 不要修圖的",1,"2024-05-06T07:31:02Z","2024-05-06T07:31:02Z","none",TRUE,FALSE
"tAE83zZEcOY","UgyqX5uwFkZpD971obx4AaABAg",NA,"@開心路過人","惡人真多",18,"2024-05-06T07:33:17Z","2024-05-06T07:33:17Z","none",TRUE,FALSE
"tAE83zZEcOY","Ugz8Dd7ue0xrakcLIPd4AaABAg",NA,"@林奕欣-r7e","自己要給的...唉",2,"2024-05-06T07:43:14Z","2024-05-06T07:43:14Z","none",TRUE,FALSE
