"text","likeCount","reply"
"Great speech, thanks for enlightening us : we saw the results of your honeymoon",4,FALSE
"Absolutely loved this speech! You brought in such a fresh perspective, especially with the references to Switzerland—such a brilliant addition!  The insights on Race and its impact on marketing were spot on and super thought-provoking. This talk really gave me some great takeaways to think about moving forward. Amazing job, super inspiring!",4,FALSE
"Amazing perspective and very well articulated..",3,FALSE
"Such a wonderful speech Ram . Genuinely loved it ️ It was very insightful and definitely makes us think about the choices we make !! The kind of motivation everyone needs to ponder upon !!",3,FALSE
"Wow, what an incredible speech! it really added depth and made everything even more relatable.  The discussion around Race in marketing was so powerful and thought-provoking; you've given us all so much to reflect on. Truly an outstanding presentation, thank you for sharing your wisdom with us!",5,FALSE
"This is incredible!  I’m so proud of you for speaking at TEDx! It's amazing to see you share your knowledge on such a huge stage!  Keep doing awesome things—couldn’t be prouder! "", Not a lot of teenagers get to hear something like this! Amazing!",8,FALSE
"Inspired by your speech and interesting too, love the way you elaborate it in an insightful way, totally loved it",4,FALSE
"Such an amazing talk by Ramkumar Sethuramalingam!  The way he breaks down the role of AI in marketing and the psychology behind consumer decisions is so eye-opening.  It’s not every day you get to hear from someone with such vast experience and knowledge, and self-introspection. Definitely learned a lot from this.",4,FALSE
"Its really amazing that you shared your personal story Mr. Ram Kumar , i find this really inspiring and motivative",4,FALSE
"Thankyou :)",1,TRUE
"Wow, this talk was incredible, Ramkumar!  Your insights into AI in marketing and the psychology behind consumer behavior were so eye-opening.  It's amazing to see someone with your level of expertise sharing such valuable knowledge on a platform like TEDx. I’m sure this will inspire so many people!",4,FALSE
"Congratulations on this speech. It has everything a convincing talk needs. Thanks for sharing your experience, thought provoking questions and for making laugh. Can’t wait for your next one",4,FALSE
"Excellent topic, very well articulated with personal experiences! Shoutout to you, bro!",4,FALSE
"Such an inspiring and motivating speech Ram 🏼🏼🏼🏼. Please keep it up .",3,FALSE
"Ram, what an insightful and at the same time humorous speech on an extremely relevant subject these days. I am currently in the situation where I as future mom am considered a big money bag that can be targeted and manipulated by the marketing AI easily! I will follow your RACE rules and try to protect my choices",2,FALSE
"Wonderful Ram",4,FALSE
"All the German gods are on vacation in Switzerland! For beauty and low taxes",4,FALSE
"Great talk Ram! Congratulations  I really like your example of getting a pair of shoes. Now I will check all my devices.  Thanks for sharing!",4,FALSE
"What a great sprach! Thank you for the insights.",4,FALSE
"Very nice and interesting talk. You might feel manipulated by the system. It’s good to be conscious of your choices …Congrats",4,FALSE
"Absolutely brilliant, Ram! Your talk was so inspiring and incredibly informative - loved how you seamlessly blended personal stories with powerful insights on marketing AI. Your passion and creativity truly shine through. Amazing work! ️",4,FALSE
"An excellent talk that really stood out! The insights into AI marketing were not only informative but also presented in a way that kept me hooked throughout. It’s always great to learn from someone with such clarity and perspective!",4,FALSE
"Congratulations Wonderful speech",5,FALSE
"Your deep knowledge of AI and its applications in marketing really came through. It's clear that you have a great understanding of both the technical aspects and practical implications.",4,FALSE
"congratulations for the great talk. Interesting insights!",4,FALSE
"What a clarity in speech that's understandable even for a common man. Wonderful talk  keep going",5,FALSE
"Congrats, Ram! Your TED Talk was fantastic—AI ethics and storytelling in marketing? You absolutely nailed it! With your blend of psychology, AI magic, and 18 years of expertise, you had us hooked. Keep owning the stage and reminding us to ask the big question before hitting “buy”: Do I really need this? Brilliant stuff!",4,FALSE
"Excellent talk Ram. Relevant topic in today’s AI world. Father’s wisdom ‘I like the iPad, but do not need it.’",5,FALSE
"A big applause to you Ram for delivering an informative speech highlighting the menace of AI.",4,FALSE
"That's an interesting talk and a real eye opener....liked the way that you made anyone connect with your speech...hearty congratulations",5,FALSE
"Amazing talk! So proud of you!🏽",4,FALSE
"Wonderful talk! Congratulations on being a TedX speaker",5,FALSE
"Very nicely presented with personal touch to keep the audience at the edge of their seat !!",4,FALSE
"Bro!! Just Loved it!! Its utmost important to take Control of self and our decisioning power...than being a Puppet to the AI Influencers 🏼🏼🏼🏼🏼🏼",6,FALSE
"Excellent ram. Loved it",4,FALSE
"Wow Ram! Such an amazing speech, many insights which makes us more aware in our daily life!",5,FALSE
"Congrats Ram, this is indeed on a different level. A big achievement and a major milestone ... Way to go",5,FALSE
"It was a great talk",4,FALSE
"Wonderful pitch Ram. You have a great stage dominance and the power to grab the attention for a long period of time. Your pitch is eye opening on the choices we make on a day to day basis and also gives a solution on how to protect our choices. Very well done. Congratulations.",5,FALSE
"I really enjoyed watching this.",4,FALSE
"Congratulations Ram, you not only picked a super important topic around Ethical AI – you also presented in a very professional manner. It is very visible, that you are enjoying the stage while being recorded! Your superb and very likeable presence makes it fun watching you. Keep investing into this talent of yours!",5,FALSE
"Very good message",2,FALSE
"Superb Ram wonderful and motivating speech . Please keep it up 🏼🏼🏼🏼",2,FALSE
"awesome pitch with a limbic opening of Choices... and link it to the Marketing AI topic.",3,FALSE
"Thanks a lot @geethagopalakrishnan5217 for those kind words !",0,TRUE
"Fantastic talk, Great insights on Marketing & AI along with a nice message to protect our choices!",3,FALSE
"That is a wonderful message. Great work Ram.",4,FALSE
"This is a perfect pitch ! Much needed awareness for the current generation in terms of their spending maturity . Difference between necessity and luxury couldn't be better explained than this . Kudos to you !",3,FALSE
"Awesome speech .. Millennials and Gen z kids have changed the way they handle their finances and easily get influenced by online marketing . Its high time , people realise the importance of their choices that are necessary",4,FALSE
"This talk is truly insightful and inspiring! Ram did an excellent job breaking down complex marketing AI concepts into understandable bits. It's clear that the future of marketing is being shaped right before our eyes",2,FALSE
"This presentation was incredibly thought-provoking and motivating! Ram did an outstanding job simplifying complex AI marketing concepts into easy-to-digest insights. It's evident that the future of marketing is unfolding right in front of us.",2,FALSE
"Very good educational bit on how AI can help, but also how we can set the limits. Good reminder on data privacy. Coincidentally, I had switched off a few settings for targeted ads on Instagram and Facebook so they don't have access to so much of my data, and now I cannot scroll past 3 posts without waiting on an irrelevant ad pushed on my screen. Like they're some vengeful whiny exes.",3,FALSE
"Awesome talk . You presented it so good with apt examples in layman terms !!",3,FALSE
"Superb speech Ram !! Very impactful and delivery was on spot . Being a common man it was so clear for my understanding! Much needed topic",3,FALSE
"Excellent pitch . A topic with a mandatory awareness that everyone should actually possess",3,FALSE
"Starting with the Nutella reference was a great move to attract the viewers especially me !! Good speech Ram",3,FALSE
"Wonderful speech!!! Thanks a lot for choosing this topic",3,FALSE
"Good job Ram your talk was informative and interesting. Keep rocking",3,FALSE
"Thankyou drjanani2783.",0,TRUE
"Thankyou @Arthur James-w7t",0,TRUE
"Thankyou @iyyappadevaraj3387 for your extensive and appreciative feedback. I like those words necessity and luxury. Thanks",0,TRUE
"Thankyou @anithasekar3409",0,TRUE
