word,n,rank
不知道,6,1
中国人,4,2
受害者,4,3
女朋友,4,4
eat,3,5
food,3,6
guy,3,7
lover,3,8
money,3,9
为什么,3,10
也不是,3,11
在一起,3,12
層出不窮,3,13
年輕人,3,14
真的是,3,15
china,2,16
corruption,2,17
death,2,18
delivered,2,19
desire,2,20
news,2,21
people,2,22
saga,2,23
target,2,24
一定是,2,25
不值得,2,26
不至于,2,27
不需要,2,28
世界上,2,29
主持人,2,30
受害人,2,31
善有善報,2,32
奢侈品,2,33
幼稚園,2,34
很喜歡,2,35
惡有惡報,2,36
應該是,2,37
有些人,2,38
渥太华,2,39
無差別,2,40
的確是,2,41
致命傷,2,42
說實話,2,43
還是要,2,44
都沒有,2,45
靠自己,2,46
高材生,2,47
agree,1,48
annoying,1,49
bilibili,1,50
broke,1,51
business,1,52
businesses,1,53
cat's,1,54
celebrity,1,55
check,1,56
citizens,1,57
commit,1,58
convince,1,59
currency,1,60
dating,1,61
dead,1,62
decent,1,63
denial,1,64
empty,1,65
establishment,1,66
fabulous,1,67
factor,1,68
faked,1,69
fast,1,70
fat,1,71
fruitful,1,72
girl,1,73
girls,1,74
guys,1,75
heard,1,76
jgy,1,77
jgy2023,1,78
lanmeiyoupin.net,1,79
learnt,1,80
lesson,1,81
limelight,1,82
lived,1,83
main,1,84
major,1,85
mcdonald,1,86
meal,1,87
mrfunnynewsjiang.com,1,88
multiple,1,89
offerings,1,90
online,1,91
pissed,1,92
pity,1,93
poor,1,94
realise,1,95
recommend,1,96
regularly,1,97
sad,1,98
sadly,1,99
save,1,100
signature,1,101
steal,1,102
story,1,103
stupid,1,104
suicide,1,105
sus,1,106
taste,1,107
teller,1,108
tips,1,109
vegetables,1,110
video,1,111
women,1,112
一個人,1,113
一分錢,1,114
一分钱,1,115
一直在,1,116
一首歌,1,117
下輩子,1,118
不出去,1,119
不在少數,1,120
不存在,1,121
不尋常,1,122
不正常,1,123
不能自拔,1,124
主要是,1,125
乌克兰,1,126
也可以,1,127
也沒有,1,128
予取予求,1,129
人外有人,1,130
人財兩失,1,131
任何人,1,132
侵略者,1,133
價值觀,1,134
優越感,1,135
公权力,1,136
冷嘲熱諷,1,137
刘德华,1,138
到处都,1,139
到底是,1,140
原来是,1,141
受寵若驚,1,142
只要是,1,143
可以說是,1,144
善男善女,1,145
大喜過望,1,146
大学生,1,147
大小便,1,148
大概是,1,149
大驚小怪,1,150
天外有天,1,151
天經地義,1,152
太好了,1,153
好像是,1,154
威逼利诱,1,155
害人不浅,1,156
寄生蟲,1,157
實在是,1,158
就不會,1,159
尼西亚,1,160
工程師,1,161
干什么,1,162
很可惜,1,163
很喜欢,1,164
從來不,1,165
從天而降,1,166
心甘情愿,1,167
怎麼回事,1,168
怎麼會,1,169
恐怕會,1,170
感同身受,1,171
我还是,1,172
抓起来,1,173
招架不住,1,174
拿回来,1,175
措手不及,1,176
敲竹杠,1,177
无欲则刚,1,178
最好能,1,179
會不會,1,180
欣欣向榮,1,181
每个人,1,182
没什么,1,183
没拿到,1,184
注意力,1,185
派出所,1,186
添油加醋,1,187
為什麼,1,188
為他們,1,189
無欲則剛,1,190
父母親,1,191
理所當然,1,192
男孩子,1,193
病入膏肓,1,194
看起来,1,195
矫枉过正,1,196
第一次,1,197
算不上,1,198
老百姓,1,199
肾结石,1,200
能不能,1,201
自以為是,1,202
自知之明,1,203
自私自利,1,204
芸芸眾生,1,205
計程車,1,206
轻而易举,1,207
过不了,1,208
這件事,1,209
這就是,1,210
那句话,1,211
都不是,1,212
都可以,1,213
高速公路,1,214
