likeCount,reply,word
4,FALSE,meaningful
4,FALSE,speech
4,FALSE,nice
4,FALSE,speech
4,FALSE,scientists
4,FALSE,focus
4,FALSE,focus
4,FALSE,medicine
4,FALSE,cancer
4,FALSE,medicine
4,FALSE,dont
4,FALSE,wast
4,FALSE,money
4,FALSE,universe
4,FALSE,invest
4,FALSE,money
4,FALSE,mankind
1,FALSE,complex
1,FALSE,matter
1,FALSE,tackle
1,FALSE,heard
1,FALSE,chatgpt
1,FALSE,rumored
1,FALSE,tool
1,FALSE,cheating
1,FALSE,appealing
1,FALSE,dark
4,FALSE,speech
4,FALSE,channel
24,FALSE,excellent
24,FALSE,speaker
24,FALSE,contemporary
24,FALSE,topic
24,FALSE,strict
24,FALSE,boundaries
24,FALSE,stays
24,FALSE,assistant
24,FALSE,tool
3733,FALSE,people
3733,FALSE,internet
3733,FALSE,dangerous
3733,FALSE,destroy
3733,FALSE,weren’t
3733,FALSE,wrong
3733,FALSE,screen
3733,FALSE,front
3733,FALSE,day
3733,FALSE,rabbit
3733,FALSE,hole
3733,FALSE,inherently
3733,FALSE,bad
3733,FALSE,humans
3733,FALSE,lack
3733,FALSE,control
15,FALSE,prove
15,FALSE,copyright
15,FALSE,infringement
15,FALSE,artist
15,FALSE,art
15,FALSE,humanly
15,FALSE,inpired
15,FALSE,logic
15,FALSE,computation
15,FALSE,system
15,FALSE,probabilistic
15,FALSE,public
15,FALSE,information
15,FALSE,saved
15,FALSE,therefor
15,FALSE,workds
15,FALSE,inspiration
15,FALSE,informed
15,FALSE,person
2,FALSE,yea
2,FALSE,develop
2,FALSE,artist
2,FALSE,college
2,FALSE,practice
2,FALSE,hours
2,FALSE,day
2,FALSE,create
2,FALSE,style
2,FALSE,dude
2,FALSE,uploads
2,FALSE,body
2,FALSE,suddenly
2,FALSE,imitate
2,FALSE,wait
2,FALSE,hiring
2,FALSE,welp
2,FALSE,sleeping
2,FALSE,pills
2,FALSE,ridiculous
1,FALSE,regulate
1,FALSE,healthcare
1,FALSE,industry
1,FALSE,derrgulated
1,FALSE,economic
1,FALSE,flat
1,FALSE,earther
1,FALSE,caused
1,FALSE,harm
8,FALSE,models
8,FALSE,mirror
8,FALSE,reflection
8,FALSE,society
8,FALSE,don’t
0,FALSE,dont
0,FALSE,hope
0,FALSE,control
0,FALSE,stupid
0,FALSE,yeah
0,FALSE,nasty
0,FALSE,market
0,FALSE,religious
0,FALSE,ideology
0,FALSE,develop
0,FALSE,community
0,FALSE,oriented
0,FALSE,society
0,FALSE,emerges
0,FALSE,check
0,FALSE,project
0,FALSE,auravana
