"text","likeCount","reply"
"Meaningful speech, thanks!",4,FALSE
"Nice speech about ai but i think scientists shouldn't focus on ai rather then should focus on making new medicine for cancer and many more medicine dont wast money on AI or in universe make invest money on mankind ..",4,FALSE
"AI is a complex matter to tackle. Everyone has heard of ChatGPT and how it's been rumored to be used as a tool for cheating. While it may seem appealing, you've got to take a look at its dark side.",1,FALSE
"Useful speech, thanks channel",4,FALSE
"Excellent speaker on a very contemporary topic..AI needs to be kept within strict boundaries so it stays as an assistant/tool",24,FALSE
"People used to say the internet was dangerous and would destroy us. They weren’t wrong. Most of us have a screen in front of us 90% of the day. AI will take us further down this rabbit hole, not because it is inherently bad but because humans lack self control.",3733,FALSE
"I wonder how can they prove copyright infringement to any artist whose art is humanly inpired by other. AI is not a logic computation system but a probabilistic and in that regards though public information is used, it is not saved as is, therefor it workds as an inspiration for any informed person.",15,FALSE
"Yea so, you develop as an artist, you go to college, you practice for 10 hours a day, create a style. Then some dude uploads your whole body of work into an AI and suddenly it can imitate you, wait it's better than you. Also no one is hiring you. Welp better get some sleeping pills. It's ridiculous.",2,FALSE
"""We can't regulate AI"". Why not? The healthcare industry in the US is derrgulated and, unless you're an economic flat-earther, you know it caused more harm than good.",1,FALSE
"The AI models are a mirror reflection of society. Maybe you don’t like what you see",8,FALSE
"If ""even they dont know how it works"" how can anyone even hope to control it? - This whole thing is stupid.",0,FALSE
"Yeah, there are some nasty thing going on because of the market-State and religious ideology. So, we develop a better community-oriented society within which AI emerges better for us. Check out project auravana as a new configuration of society, representational of community at the societal level. Let's train an AI on/in a different configuration of society.",0,FALSE
"Yet another woked ️",6,FALSE
"ارجو تواجد لغة عربية",0,FALSE
"Many humans lack self-control and some make the worst use of technology.",2,TRUE
"Look at all the ️ Elon Musk has put out ? Exactly why bring this crap out there",0,FALSE
"It's true, that the images of artists are used to train a model but the model won't use it directly as a reference to create new images. The effect of the artists image on the model is extremely small and is used only to change some numbers and weights in the vast amount of neurons in the artificial brain. For me that's not very different as to look at those images by myself, what is completely legal. The network will never create an image exactly as one of those which it was trained on. It's like you look at an image of someone and create something that looks kinda similar but it will never be the same.",19,FALSE
"I've had it multiple times when talking to a woman about my doctor, they've said ""what did he say""(my doc is a woman). If humans that should know better stereotype I don't know how we'll stop machines trying to be us from doing it.",1,FALSE
"The internet is dangerous and one could argue the rapid spread of disinformation has destroyed us. Polarisation is one of the worst things to happen to humanity. The internet has accelerated that by a lot.",1,TRUE
"She's not as informed as she thinks she is.",2,FALSE
"What’s the solution then?, go back to live in caverns?, hunt and gathering?.",0,FALSE
"Thank you for your information.",1,FALSE
"The ""biased information"", is that inconvenient facts regarding demographics perhaps?",8,FALSE
"Emissions caused by training AI models are negligible compared to things like heavy industry. I wonder if they also measured how much emissions are produced by playing video games or maintaining the whole internet.",238,FALSE
"As an artist, I couldn't care less about Ai taking commercial art jobs from humans, bc other human commercial artist have been stealing the work of less established artists for a long time now. It's a non-issue though and copyrights aren't real in any sense that actually matters. Ai making art is a good thing.",20,FALSE
"It's too dangerous unless we can stir in our own bias. I'm not sure this is the honest solution, but we all have an agenda I see.",1,FALSE
"I'm still mildly annoyed that no talk mentioning it will admit that photons tend to bounce less of dark skin meaning cameras have less information to work with when it comes to light vs dark skin face recognition. This is as much a physics issue as it is a dataset issue",9,FALSE
"AI destroying humanity? Humanity destroys humanity.",1,FALSE
