word,n,rank
不知道,5,1
真的是,5,2
1.3,3,3
一定是,3,4
原住民,3,5
因果報應,3,6
想不開,3,7
是不是,3,8
為什麼,3,9
百分比,3,10
這就是,3,11
都不是,3,12
都沒有,3,13
麥當勞,3,14
一模一樣,2,15
下輩子,2,16
不會有,2,17
为什么,2,18
也不會,2,19
也沒有,2,20
什麼時候,2,21
全世界,2,22
基本上,2,23
大部分,2,24
對不起,2,25
年輕人,2,26
應該是,2,27
打電話,2,28
有沒有,2,29
沒關係,2,30
狐狸精,2,31
理所當然,2,32
看起來,2,33
還可以,2,34
都不會,2,35
app,1,36
asi,1,37
atm,1,38
c4n,1,39
chica,1,40
china,1,41
crueles,1,42
dk4ep,1,43
espero,1,44
esta,1,45
existen,1,46
feminist,1,47
google,1,48
gran,1,49
infeliz,1,50
manipuladora,1,51
mujeres,1,52
odio,1,53
porque,1,54
pua3,1,55
r3q,1,56
siempre,1,57
tan,1,58
telegram,1,59
una,1,60
viva,1,61
xw4cw,1,62
y7g6v,1,63
youtube,1,64
一個人,1,65
一個樣,1,66
一句話,1,67
一大堆,1,68
一定會,1,69
一廂情願,1,70
一胎化,1,71
一頭熱,1,72
丁字褲,1,73
不会有,1,74
不值得,1,75
不勞而獲,1,76
不喜歡,1,77
不放过,1,78
不為瓦全,1,79
不知廉耻,1,80
不管怎樣,1,81
不要臉,1,82
不需要,1,83
並不是,1,84
並沒有,1,85
主要原因,1,86
主要是,1,87
也不是,1,88
事實證明,1,89
人情冷暖,1,90
人民幣,1,91
仔細看,1,92
仙人跳,1,93
低收入,1,94
佔便宜,1,95
假惺惺,1,96
傻小子,1,97
凱恩斯,1,98
加拿大,1,99
半小時,1,100
受害者,1,101
只要是,1,102
可笑的是,1,103
可能是,1,104
可能會,1,105
同情心,1,106
同路人,1,107
吐出來,1,108
哭出來,1,109
嘻皮笑臉,1,110
在一起,1,111
外省人,1,112
大自然,1,113
天理不容,1,114
女朋友,1,115
察覺到,1,116
寧為玉碎,1,117
尤其是,1,118
就不是,1,119
就不會,1,120
差不多,1,121
幾萬塊,1,122
很可惜,1,123
從來沒有,1,124
從小到大,1,125
徵信社,1,126
心地善良,1,127
恐怕會,1,128
愚人節,1,129
感同身受,1,130
我也不,1,131
我还是,1,132
找不到,1,133
抓起來,1,134
接下來,1,135
最好的,1,136
最糟糕,1,137
有些人,1,138
有樣學樣,1,139
東山再起,1,140
果然是,1,141
母儀天下,1,142
每一個,1,143
比比皆是,1,144
民進黨,1,145
沒什麼,1,146
沒想到,1,147
為所欲為,1,148
無影無蹤,1,149
無恥之徒,1,150
無非是,1,151
照價賠償,1,152
父母親,1,153
玩起來,1,154
當事人,1,155
白開水,1,156
看電影,1,157
真心真意,1,158
研究所,1,159
穩定下來,1,160
第一次,1,161
簡直是,1,162
經歷過,1,163
而不是,1,164
肺腑之言,1,165
胡說八道,1,166
能不能,1,167
自作多情,1,168
自尋死路,1,169
自求多福,1,170
自私自利,1,171
芝麻小事,1,172
花言巧语,1,173
莫名其妙,1,174
要不然,1,175
言論自由,1,176
設身處地,1,177
踏腳石,1,178
身分證,1,179
輕鬆自在,1,180
這件事,1,181
這句話,1,182
逝者已矣,1,183
避不見面,1,184
還不如,1,185
還是會,1,186
還是要,1,187
那幾個,1,188
邪門歪道,1,189
都不能,1,190
錦上添花,1,191
養不起,1,192
體認到,1,193
