likeCount,reply,word
345,FALSE,衝進去
1,FALSE,不可思議
139,FALSE,越來越
139,FALSE,好幾個
141,FALSE,麥當勞
3,FALSE,有人說
4,FALSE,都可以
21,FALSE,十年前
35,FALSE,主要是
88,FALSE,不得不
5,FALSE,電動車
5,FALSE,不可能
5,FALSE,可能會
5,FALSE,分道揚鑣
5,FALSE,甜甜蜜蜜
5,FALSE,在一起
5,FALSE,不可能
10,FALSE,這件事
10,FALSE,看起來
10,FALSE,注意力
10,FALSE,整件事
11,FALSE,為什麼
11,FALSE,一個人
11,FALSE,都不是
6,TRUE,基本上
30,FALSE,價值觀
30,FALSE,價值觀
6,TRUE,應該是
12,FALSE,麥當勞
12,FALSE,麥當勞
5,FALSE,麥當勞
5,FALSE,也會有
5,FALSE,總是會
5,FALSE,配不上
5,FALSE,越來越
5,FALSE,竭盡全力
5,FALSE,酸甜苦辣
5,FALSE,大部分
3,TRUE,一件事
4,FALSE,都没有
5,FALSE,總而言之
5,FALSE,就不會
0,FALSE,不平等
0,FALSE,一胎化
0,TRUE,太鲁阁
0,TRUE,是不是
7,FALSE,心甘情願
7,FALSE,真的是
16,FALSE,大多數
16,FALSE,也可以
16,FALSE,不健康
2,FALSE,不管是
7,FALSE,這就是
7,FALSE,為什麼
0,FALSE,好不好
0,TRUE,心目中
0,TRUE,不知道
0,TRUE,單方面
0,TRUE,不喜歡
0,TRUE,什麼東西
0,TRUE,各付各的
0,TRUE,玉石俱焚
0,TRUE,心生不滿
0,TRUE,無期徒刑
0,TRUE,不知道
0,TRUE,什麼時候
3,TRUE,害群之馬
6,FALSE,一句話
6,FALSE,pua
6,FALSE,榨汁機
6,FALSE,唯物主義
6,FALSE,根深蒂固
18,TRUE,很喜欢
18,TRUE,分而治之
3,FALSE,心目中
3,FALSE,不知道
3,FALSE,單方面
3,FALSE,不喜歡
3,FALSE,什麼東西
3,FALSE,各付各的
3,FALSE,玉石俱焚
3,FALSE,心生不滿
3,FALSE,無期徒刑
3,FALSE,不知道
3,FALSE,什麼時候
0,FALSE,比不上
0,FALSE,共產黨
0,FALSE,愈來愈
0,TRUE,聯想到
0,TRUE,好像是
7,FALSE,注意力
7,FALSE,尤其是
7,FALSE,電動車
2,FALSE,到底是
2,FALSE,布袋戲
6,FALSE,這件事
6,FALSE,想不開
6,FALSE,身敗名裂
6,FALSE,這件事
6,FALSE,意味著
6,FALSE,適當的
6,FALSE,不需要
6,FALSE,一定是
6,FALSE,大公無私
6,FALSE,一定是
6,FALSE,一句話
6,FALSE,這句話
6,FALSE,待人接物
6,FALSE,因時制宜
6,FALSE,因地制宜
0,TRUE,關鍵字
0,TRUE,simp
1,FALSE,一個人
1,FALSE,應該是
5,FALSE,高談闊論
2,FALSE,資本主義
17,TRUE,沒什麼
17,TRUE,一部分
17,TRUE,那幾個
17,TRUE,人民幣
17,TRUE,不用說
17,TRUE,說出來
17,TRUE,人民幣
3,FALSE,没什么
6,FALSE,這幾天
6,FALSE,三不五時
6,FALSE,還是會
6,FALSE,麥當勞
4,TRUE,不知道
4,FALSE,司空見慣
4,FALSE,到底有
1,FALSE,atm
0,FALSE,跑出來
1,TRUE,兩件事
1,TRUE,emoji
1,TRUE,不出來
0,FALSE,都没有
0,FALSE,整件事
0,FALSE,高速公路
7,FALSE,市場上
7,FALSE,應該是
7,FALSE,沒關係
7,FALSE,上進心
9,TRUE,這件事
2,TRUE,惱羞成怒
0,TRUE,50w
0,TRUE,也就是
7,FALSE,女主角
7,FALSE,女主角
0,TRUE,一胎化
0,TRUE,一胎化
12,FALSE,大部分
12,FALSE,围绕着
12,FALSE,不可能
4,FALSE,就不會
2,FALSE,鬧起來
2,FALSE,高速公路
0,FALSE,麥當勞
0,FALSE,熱騰騰
1,FALSE,反過來
