word,n,rank
为什么,120,1
不知道,73,2
是不是,63,3
女朋友,60,4
pua,54,5
中国人,47,6
不可能,43,7
男女平等,42,8
大部分,38,9
没什么,38,10
越来越,33,11
而不是,32,12
也没有,29,13
可能是,29,14
也不是,28,15
受害者,26,16
女孩子,25,17
第一次,25,18
男朋友,24,19
所谓的,23,20
不平等,22,21
尤其是,22,22
真的是,22,23
其实是,21,24
差不多,21,25
男孩子,21,26
麦当劳,21,27
万余元,20,28
不值得,20,29
不需要,20,30
都没有,20,31
一部分,19,32
高速公路,19,33
在一起,18,34
npd,17,35
一直在,16,36
也可以,16,37
全世界,16,38
也不能,15,39
到底是,15,40
不存在,14,41
主要是,14,42
肯定是,14,43
都可以,14,44
不正常,13,45
之所以,13,46
成年人,13,47
為什麼,13,48
也不会,12,49
只不过,12,50
能不能,12,51
重男轻女,12,52
user,11,53
不会有,11,54
世界上,11,55
动不动,11,56
基本上,11,57
就不是,11,58
有些人,11,59
都不是,11,60
liang,10,61
不管是,10,62
任何人,10,63
年輕人,10,64
看不到,10,65
n9j,9,66
不仅仅是,9,67
不至于,9,68
也就是,9,69
什么时候,9,70
几十年,9,71
可能性,9,72
家庭的,9,73
我知道,9,74
每个人,9,75
没想到,9,76
然后就,9,77
生育率,9,78
进一步,9,79
一定是,8,80
不一定,8,81
交通事故,8,82
单方面,8,83
大学生,8,84
如果有,8,85
就应该,8,86
老百姓,8,87
都沒有,8,88
kt5os,7,89
一方面,7,90
一直都,7,91
不介意,7,92
不在乎,7,93
会不会,7,94
加拿大,7,95
只要是,7,96
各方面,7,97
同工同酬,7,98
吸血鬼,7,99
天经地义,7,100
奢侈品,7,101
好像是,7,102
小伙子,7,103
怎么说,7,104
莫名其妙,7,105
50w,6,106
br8ui,6,107
j2o,6,108
jx9gb,6,109
lb1yg,6,110
一般人,6,111
不得不,6,112
也不會,6,113
公信力,6,114
公安局,6,115
只需要,6,116
多少钱,6,117
太好了,6,118
我不是,6,119
我看到,6,120
或者是,6,121
既然是,6,122
有道理,6,123
理所当然,6,124
看起来,6,125
穆斯林,6,126
绝大部分,6,127
走出来,6,128
麥當勞,6,129
atm,5,130
一辈子,5,131
不合理,5,132
不平衡,5,133
不必要,5,134
九個月,5,135
买东西,5,136
以为是,5,137
占便宜,5,138
可不是,5,139
夜总会,5,140
巴勒斯坦,5,141
干什么,5,142
得不到,5,143
感受到,5,144
我不会,5,145
我还是,5,146
最好的,5,147
根深蒂固,5,148
没关系,5,149
涉世未深,5,150
脑子里,5,151
13.6,4,152
6.6,4,153
gay,4,154
lu4xd2sm7g,4,155
tb7ei,4,156
wc7bp,4,157
youtube,4,158
z5m,4,159
一回事,4,160
一大堆,4,161
不公平,4,162
不在意,4,163
不好意思,4,164
不應該,4,165
兄弟们,4,166
几百块,4,167
劣根性,4,168
匪夷所思,4,169
单单是,4,170
却没有,4,171
反而是,4,172
反过来,4,173
只看到,4,174
回老家,4,175
对不起,4,176
小学生,4,177
就算是,4,178
已经有,4,179
心安理得,4,180
感同身受,4,181
我也不,4,182
打电话,4,183
找不到,4,184
抓起来,4,185
日本人,4,186
明明是,4,187
比比皆是,4,188
没意思,4,189
看一下,4,190
看不出,4,191
看不见,4,192
经历过,4,193
都不能,4,194
都应该,4,195
青春期,4,196
51w,3,197
app,3,198
b8i,3,199
check,3,200
chris,3,201
date,3,202
der,3,203
doraemon_rain,3,204
eb4wm,3,205
ej5go,3,206
g5o,3,207
i4d,3,208
incel,3,209
ktv,3,210
png,3,211
r6s,3,212
ronald,3,213
that’s,3,214
un2hp,3,215
vz2fk,3,216
w9k,3,217
women,3,218
x1s,3,219
一件事,3,220
一分钱,3,221
一厢情愿,3,222
一系列,3,223
一起去,3,224
万有引力,3,225
三番兩次,3,226
不健康,3,227
不出来,3,228
不要臉,3,229
主要原因,3,230
也就是说,3,231
事故死,3,232
人云亦云,3,233
以至于,3,234
似乎是,3,235
做生意,3,236
再也不,3,237
几乎是,3,238
几十个,3,239
刑事案件,3,240
十几个,3,241
原来是,3,242
另一方面,3,243
只不过是,3,244
只剩下,3,245
只要有,3,246
同工不同酬,3,247
同情心,3,248
听起来,3,249
大自然,3,250
女尊男卑,3,251
好多人,3,252
婚姻法,3,253
实事求是,3,254
尽可能,3,255
层出不穷,3,256
工作室,3,257
很可能,3,258
很遗憾,3,259
心甘情愿,3,260
性教育,3,261
怪不得,3,262
恨不得,3,263
愿不愿意,3,264
應該是,3,265
接触到,3,266
搞清楚,3,267
新加坡,3,268
时不时,3,269
易如反掌,3,270
會不會,3,271
殊不知,3,272
民進黨,3,273
注意力,3,274
活下去,3,275
爱不爱,3,276
物欲横流,3,277
犯不着,3,278
男主角,3,279
當事人,3,280
监狱长,3,281
研究生,3,282
節假日,3,283
自然而然,3,284
舍不得,3,285
表面上,3,286
說實話,3,287
警察局,3,288
赶时间,3,289
越來越,3,290
跳下去,3,291
這一點,3,292
這就是,3,293
那句话,3,294
0.4,2,295
16.5,2,296
17.3,2,297
2.0,2,298
23.6,2,299
24.8,2,300
29.7,2,301
46.3,2,302
6.2,2,303
66666.66,2,304
7.1,2,305
7.5,2,306
79.9,2,307
