"text","likeCount","reply"
"President Trump Will PREVAIL!",1,FALSE
"Pres Obama Sediciously tried to overthrow a duly elected President by we the people in2016",1,FALSE
"they been telling ya'll for years. dont believe anything your here believe half of the things you see. telling-lies-2-ur-vision. it has evolved https://youtu.be/oPpkS1ZXQ1Q?si=-NZJ3ic7v1QA-SwT",0,FALSE
"Leave ai alone. Lets talk about the Trump and the Epstein Files please!!",41,FALSE
"President Trump will go to jail",0,TRUE
"president trump will fail",0,FALSE
"AI is becoming a major catastrophe for us.",1078,FALSE
"You don’t see how these are related?🏾",5,TRUE
"Look at the hands. Ai sucks at them",11,FALSE
"If I see one of you guys in person…..but yall hide",0,TRUE
"Yep I know how the world will end",11,FALSE
"I'd like to see some AI of Trump laughing and having fun with Epstein. It's not like we have enough without AI generation.",3,TRUE
"NBC yeah this is probably fake too",1,FALSE
"I thought misinformation was bad before now we got AI working and promoting nonsense also.",260,FALSE
"Epstein Files .....Trump is a Bot = ain’t no way a woman like Melania be sleepin wit Trumpty Dumpty ..",0,FALSE
"Fake news like a COVID vaccine that works ? Or fake news like hunters labtop",0,FALSE
"U see the one Trump = little kids ?",0,FALSE
"I posted facts not missinfo about a leaky Mrna vaccine and was banned in 2021....",0,TRUE
"woahhhhhhhhhh",0,TRUE
"I love how she said the AI doesn’t sound like her when it totally does. It’s not exact but when they played the clips over each other it sounded 97% accurate.",267,FALSE
"At least you are talking about something substantive for a change. The videos will rapidly get to the point where no one will be able to tell what's real or not.",53,FALSE
"Why there should be a watermark with AI content that can't be taken off then yk its a fake and not real easy as that",29,FALSE
"Nbc usually does.",1,TRUE
"How? As a dictator?",6,TRUE
"​@MarkSav1right. Massive earthquake hits and trump is Hitler. Asteroid is falling and trump is a racist. Tsunami incoming and release the Epstein files. All the media is corrupt and twisted, they have an agenda and it's both sides, just don't be a lemming",0,TRUE
"Not just give it another 5 years and we'll have AI video games.",5,FALSE
"AI is getting better and better, and one day we may not need news anchors anymore",3,FALSE
"So wait wait wait Trump can win millions for an “edited” video of him correct? Ok cool. Hey Obama GET YOU SOME LAWYERS AND SUE THE HOLY LORD OUTTA HIM! I mean identical scenarios?",0,FALSE
"​@MarkSav1savior of our Nation from radicals",0,TRUE
"​@T0mF0rdnah, I became a citizen in June 2016, voted for President Trump in November 2016.",0,TRUE
"Wait till fake news are used for market manipulation.",0,FALSE
"Nobody needs them now",2,TRUE
"Epstein is not as important as AI.",0,TRUE
"NBC is nervous they will be getting replaced hahahahhahahaha! Everyone knows when its fake news! We're NOT toddlers!",0,FALSE
"@ShawnSullivan-o1f that would be funny, but I wouldn’t entertain that because it goes both ways and he’s about to do it soon",1,TRUE
"Artificial media",0,FALSE
"⁠@joshr8666yes. On a wider scale I agree with you. Trump tricked a lot of people into storming the capitol with just words imagine what he could do with deep fake or will do. It’s scary when you can trick somebody’s eyes.",0,TRUE
"Oh not yet. You know how sometimes AI will say let’s talk about something else. Imagine someone having an AI without restriction.",15,TRUE
"is this AI rise happening in all other countries as well?",0,FALSE
"How is a watermark gonna survive recording the screen with another device?",0,FALSE
"A little critical thinking ...",0,FALSE
"AI is about to shut down the entire Hollywood. Then come for my job!",0,FALSE
"AI is inevitable hence, human society's doon is inevitable",0,FALSE
"Boomers mistake the media for real information all the time. At least the AI verisons funny",1,FALSE
"todays people throw everything to internet. i don't know, which real or fake one.",0,FALSE
"Honestly. Who even falls for any of these Obviously Fake AI Videos? You gotta be on the Spectrum to believe the AI Videos because they lack Real World Context.",0,FALSE
"Definition of Fake news.",0,FALSE
"For now",10,TRUE
"Seeing is deceiving and hearing is misleading.",21,FALSE
"Well, I for one am totally convinced most of the comments on youtube are AI. Can’t blame everything on the ignorant and the young anymore",0,FALSE
"So AI news is like corporate news.",72,FALSE
"The only ones who are falling for it are MAGA",0,FALSE
"Get use to it, it's here to stay!",4,FALSE
"I think it actually gives them more opportunity. Eventually people will crave real people",3,TRUE
"I’m bout to start cheating and telling my gf it’s ai",0,FALSE
"This is positively horrifying",389,FALSE
"I argue that it doesn't matter. People just pretend to believe what they want. If you aren't willing to do any research outside of FOX News then you are too lazy to have an opinion that matters. Just shut up and stop voting. Let people with working brains and life skills make the decision",0,FALSE
"Not really. Narcissistic sociopaths have been around forever",10,TRUE
"That wouldn't matter. Many of them put a disclaimer with the source, which always claims to be a ""parody page."" But Republicans are still sourcing it as evidence.",3,TRUE
"Society sucks and always did",1,FALSE
