"text","likeCount","reply"
"There are some serious data governance issues with Agentic AIs that a lot of companies are missing and also some up front CapitalX expenses/business process uplifts that most of those looking for one of these solutions are not aware of. For example, I worked with a SMB restaurant to make a front-of-house booking agent that would interact with people on social media, take phone calls, inform potential customers of menu options and health concerns (peanut allergies, vegan food choices, etc), and do basic bookings. Unfortunately, the customer didn't know what internal business tasks needed to be done before they could really onboard an AI Agent. The customer didn't have an up-to-date menu online and the head chef would routinely switch out meals or do specials/deals based on things that suppliers had. The phone line to the company was not able to be re-routed into a cloud environment or online system to provide the necessary hooks for the agent, and the company didn't have a good way of documenting electronically what items might be exposed to different allergies. These issues were overcome but should just stand as a warning for anyone that is hoping that an Agentic AI system can be directly dropped into an existing environment with no uplift from other stakeholders or of business processes. This also is ignoring the entire issue of having an Agentic AI solution that does not process data in house and instead sends that data to an agent (say OpenAI's ChatGPT) for processing as part of a pipeline. If you have proprietary company data, PII data, PCI data, HIPAA data, or any other regulated data types (or you have regional regulation requirements that are applicable to your company, such as GDPR restricted data/responsibilities) you will have more hoops to jump through and more stops added onto your journey to establish an internal Agentic AI system.",0,FALSE
"The bot comments here show clearly how ""intelligent"" this AI is",167,FALSE
"I said this would happen 45 years ago, and many others before me. And UBI.",0,FALSE
"spot on!",7,TRUE
"You don't need AI to do this. 2999 business leaders are stupid about AI? Agentic/Agentified AI, ridiculous? Automated processes with neural net programming through data based reinforcement learning.",2,FALSE
"Stupid DEI reporter on AI, like a bad joke.",0,FALSE
"0:44 AI can write you a paper. No kidding, it’s a text engine. Problem is for 99.99 writing a paper isn’t work.",22,FALSE
"This is total marketing blah. Very poor from FT.",51,FALSE
"AI will definitely change workplace workflow and future jobs. In some way will improve it in other will hurt fields like creativity, self thinking,..m",1,FALSE
"Ah, yes, people with too much wealth who are greedy, trying to make sure they don't get left behind replacing humans with robots. Imagine if this continues.... without any line drawn, the investors have companies run by 0 humans, maximum profits, without giving any shits at all about what's going on... all so they can be wealthy. What's the end goal here? Don't forget we are a society and business is part of that, without people, there is nothing - computers are a tool, not a person. Jeesh",0,FALSE
"Yeah feels like they have been bought by Nvidia",6,TRUE
"Feels like a lot of these companies are managed by people who don't understand AI and they don't realise that the way these LLM works will probably will never stop making things up",85,FALSE
"If leaders want to stay ahead, empower your employees to have, use and understand the latest tooling... instead of looking to replace humans with the tooling itself. I've worked at leading companies, where getting the latest tools requires hours of my own time to make cases for it. If agentic AI was as good as the grift, what would happen to people, and businesses, do we need legislation in place to prevent greedy individuals replacing humans with computers for reasons of profit only.",0,TRUE
