"videoId","commentId","parentId","author","text","likeCount","publishedAt","updatedAt","viewerRating","canRate","reply"
"o5TfkwlthWU","UgyekRC230MDXREkdeN4AaABAg",NA,"@DanjonMeshi","商家集體給空袋真的笑死，不止生活在中國，連死在中國都要偷著樂😆",58,"2024-05-09T16:01:52Z","2024-05-09T16:01:52Z","none",TRUE,FALSE
"o5TfkwlthWU","UgxangSP0zjJm6_gHfV4AaABAg",NA,"@paullee4451","頭香",0,"2024-05-09T16:02:23Z","2024-05-09T16:02:23Z","none",TRUE,FALSE
"o5TfkwlthWU","UgwZdLtl6Eb2wgDWaDV4AaABAg",NA,"@urikora","更慘的是，人都走了一個月 結果就在這時機點被抓來擋政府做的醜事（路崩華為車衝進去坑洞然後快速燃起來）",345,"2024-05-09T16:05:05Z","2024-05-09T16:05:05Z","none",TRUE,FALSE
"o5TfkwlthWU","UgwSmeqUyHYUXGD6l3l4AaABAg",NA,"@fayechen1928","每次看到中國這種悲劇都覺得不可思議😨😭",1,"2024-05-09T16:05:57Z","2024-05-09T16:05:57Z","none",TRUE,FALSE
"o5TfkwlthWU","UgwpotCAmJmn2wWU7u54AaABAg",NA,"@running_goat","我真的必須得說對岸男女戰爭真的越來越嚴重== 問過好幾個對岸的女生都認為男生就是應該要給彩禮 吃飯就是要幫女生付錢等等 很可怕",139,"2024-05-09T16:06:47Z","2024-05-09T16:06:47Z","none",TRUE,FALSE
"o5TfkwlthWU","UgxQSyQbnLT9r7I1faB4AaABAg",NA,"@Jack2006103","這些店家吃人血饅頭，超噁爛",4,"2024-05-09T16:07:29Z","2024-05-09T16:07:29Z","none",TRUE,FALSE
"o5TfkwlthWU","UgyKmvejviK6cQlp98B4AaABAg",NA,"@ytl_moo","外賣寄空包超過分…根本發死人財 也很好笑 麥當勞不過正常出餐也能在那裡成為良心企業了😌",141,"2024-05-09T16:07:58Z","2024-05-09T16:07:58Z","none",TRUE,FALSE
"o5TfkwlthWU","UgxJ7PYmYQmKJG3zJ0R4AaABAg",NA,"@沢城あきら","4:10 有人說這不是事件本人, 連社會案件都有人自願當兇手, 姑且聽之就好",3,"2024-05-09T16:08:36Z","2024-05-09T16:08:36Z","none",TRUE,FALSE
NA,"UgyekRC230MDXREkdeN4AaABAg.A3DjycRKKhsA3DkvIs1daq","UgyekRC230MDXREkdeN4AaABAg","@brianliu945","活著被欺負，死後還是被欺負....",14,"2024-05-09T16:10:09Z","2024-05-09T16:10:09Z","none",TRUE,TRUE
"o5TfkwlthWU","UgzptDShrWCiReyf2gB4AaABAg",NA,"@fayechen1928","外賣都可以送空盒😑 這樣吃人X饅頭也是中國特有🙄",4,"2024-05-09T16:10:14Z","2024-05-09T16:11:04Z","none",TRUE,FALSE
